```
DATE DU DECES
4 Janvier 1920
5 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
6 Janvier 1920
