image_path,text,split,decade_id
lam_data/archive/LAM/lines/img/002_02_00.jpg,Lettera di Lod. Antonio,train,0
lam_data/archive/LAM/lines/img/002_02_01.jpg,di Giacomo Bianchi,train,0
lam_data/archive/LAM/lines/img/002_04_00.jpg,Arona 30. 9bre. 94.,train,1
lam_data/archive/LAM/lines/img/002_04_01.jpg,Sorella amatissima,train,1
lam_data/archive/LAM/lines/img/002_04_02.jpg,"Veramente il vostro caso è degno di compassione, aven",train,1
lam_data/archive/LAM/lines/img/002_04_03.jpg,"do voi perduta una figlia, che già mostrava",train,1
lam_data/archive/LAM/lines/img/002_04_04.jpg,"grande ingegno, e faceva sperar molto felice",train,1
lam_data/archive/LAM/lines/img/002_04_05.jpg,riuscita. Io ancora ho sentito un particolar,train,1
lam_data/archive/LAM/lines/img/002_04_06.jpg,"dispiacere per questo, ma più per la pena,",train,1
lam_data/archive/LAM/lines/img/002_04_07.jpg,che avete sofferto voi in questa congiuntura.,train,1
lam_data/archive/LAM/lines/img/002_04_08.jpg,"Egli è però tempo una volta di consolarsi,",train,1
lam_data/archive/LAM/lines/img/002_04_09.jpg,perché il voler troppo piangere in tali dis-,train,1
lam_data/archive/LAM/lines/img/002_04_10.jpg,grazie è un non voler rimettersi alla volon-,train,1
lam_data/archive/LAM/lines/img/002_04_11.jpg,"tà di Dio, e mostrar disgusto di quanto ha",train,1
lam_data/archive/LAM/lines/img/002_04_12.jpg,operato la sua padronanza sopra di noi.,train,1
lam_data/archive/LAM/lines/img/002_04_13.jpg,Il che può ancora esser peccato grave. Fate,train,1
lam_data/archive/LAM/lines/img/002_04_14.jpg,conto che il nostro sommo fattore vi avesse,train,1
lam_data/archive/LAM/lines/img/002_04_15.jpg,dimandata la figlia per farla seco beata,train,1
lam_data/archive/LAM/lines/img/002_04_16.jpg,in eterno. Voi al sicuro non gliela avres-,train,1
lam_data/archive/LAM/lines/img/002_04_17.jpg,"te negata, anzi m'immagino che l'avreste",train,1
lam_data/archive/LAM/lines/img/002_04_18.jpg,ringraziato per una sì bella offerta; e se,train,1
lam_data/archive/LAM/lines/img/002_04_19.jpg,dopo avergliela concessa voi vi lamentaste acer,train,1
lam_data/archive/LAM/lines/img/002_04_20.jpg,"bamente di questo, voi ben vedete che commet-",train,1
lam_data/archive/LAM/lines/img/002_04_21.jpg,"tereste un'ingratitudine, e fareste un gran tor-",train,1
lam_data/archive/LAM/lines/img/002_04_22.jpg,to alla suprema disposizione divina. È lo stesso ,train,1
lam_data/archive/LAM/lines/img/002_04_23.jpg,"ora, poiché Dio v'ha dimandata la figlia con",train,1
lam_data/archive/LAM/lines/img/002_04_24.jpg,"levarvela da gli occhi, ed è certo che l'ha con-",train,1
lam_data/archive/LAM/lines/img/002_04_25.jpg,dotta seco nella beatitudine eterna. Non bisogna,train,1
lam_data/archive/LAM/lines/img/002_04_26.jpg,"dunque dolersi più della divina provvidenza, che",train,1
lam_data/archive/LAM/lines/img/002_04_27.jpg,"ha giovato a vostra figlia, e da voi tacitam.e",train,1
lam_data/archive/LAM/lines/img/002_04_28.jpg,"pretende rassegnazione. Egli ve l'ha data, et",train,1
lam_data/archive/LAM/lines/img/002_05_00.jpg,"egli ancora ve l'ha tolta, e non vi fa in-",train,1
