image_name,ground_truth,prediction_finetuned,cer,bleu
034_1311_01.jpg,ti dei lumi sia provveduto per migliorare,ti bei lumi sia provoduta per migliorare,0.09756097197532654,0.0
039_1582_01.jpg,Mil: 25. gen.#,.,0.9285714030265808,0.0
038_1504_00.jpg,Mio Car:mo S:re Tori.,Mio Car: S.re Son.,0.2857142984867096,0.0
034_1302_39.jpg,"cano, e facciano diventar pernicioso uno stu-",cano unicoso un sm-,0.6222222447395325,0.0
049_2012_08.jpg,"a quello di sotto si vive alla buona, in","a quello di solto si vie alla buona, in",0.05000000074505806,0.392814650900513
037_1414_05.jpg,"riserbo d'indagar meglio costì, qual fon-","riserbo d'inda par meglio costì, qual Son-",0.0731707289814949,0.3655552228545123
041_1752_24.jpg,amico. Forse il mese venturo partiranno amendue,amico. Forse il mese venturo partiranno amendue,0.0,1.0
040_1744_10.jpg,no. il colore di Caffè aperto non s'è potuto,no il colore di laffeto aperto non s'e potuto,0.13636364042758942,0.0
049_2013_10.jpg,Come crede ella che sarà gradita la Fiera,Come è ità sa gradita la Fiera,0.3658536672592163,0.0
088_4256_08.jpg,"del Tasso, cioè non esserci cosa scritta","del. Tasso, ciò non esserci tosa scritta",0.10000000149011612,0.0
021_812_12.jpg,Desidero frequenti i suoi comandamenti,Dasdero frequenti suoi commandementi,0.15789473056793213,0.0
033_1291_06.jpg,tettori del Voto Sanguin.o Necessaria cosa,settori del Voto Sanguin.o Necessaria cose,0.0476190485060215,0.6803749333171202
034_1315_16.jpg,parmiato a così illustre Corpo un tale spregio.,parmato a cosj ilustre Erpo un tale spregio,0.12765957415103912,0.0
037_1429_01.jpg,"il resto finqui fatto de' miei Annali,","il resto fingui fatto de' miei Annali,",0.02631578966975212,0.5946035575013605
021_826_12.jpg,talento andrà innanzi a molt'altri. Bramoso,talento andrà inanzi a molt'altri. Bramoso,0.023255813866853714,0.488923022434901
049_2185_00.jpg,che mi si presentassero. Per altro veg-,che mi si presentarse.o. Per altro veg-,0.05128205195069313,0.37991784282579627
