model,id,cer
gpt_one_example,1_0,0.958179581795818
gpt_one_example,1_2,0.12195121951219512
gpt_one_example,1_3,0.8222222222222222
gpt_one_example,1_4,0.8045977011494253
gpt_one_example,1_5,0.2702702702702703
gpt_one_example,1_6,0.225
gpt_one_example,1_7,0.5102040816326531
gpt_one_example,1_8,0.5111111111111111
gpt_one_example,1_9,0.8307692307692308
gpt_one_example,1_10,0.8421052631578947
gpt_one_example,1_11,0.8055555555555556
gpt_one_example,1_12,0.35135135135135137
gpt_one_example,1_13,0.8307692307692308
gpt_one_example,2_0,0.958179581795818
gpt_one_example,2_1,4.5
gpt_one_example,2_2,0.8391608391608392
gpt_one_example,2_3,0.8217821782178217
gpt_one_example,2_4,0.8130841121495327
gpt_one_example,2_5,0.3684210526315789
gpt_one_example,2_6,0.8114754098360656
gpt_one_example,2_7,0.8148148148148148
gpt_one_example,2_8,0.816
gpt_one_example,2_9,0.3333333333333333
gpt_one_example,2_10,0.37142857142857144
gpt_one_example,2_11,0.768595041322314
gpt_one_example,2_12,0.8
gpt_one_example,2_13,0.3611111111111111
gpt_one_example,2_14,0.832
gpt_one_example,3_0,0.958179581795818
gpt_one_example,3_1,0.8288288288288288
gpt_one_example,3_2,0.8235294117647058
gpt_one_example,3_3,0.8191489361702128
gpt_one_example,3_4,0.3055555555555556
gpt_one_example,3_5,0.4888888888888889
gpt_one_example,3_6,0.8207547169811321
gpt_one_example,3_7,0.8257575757575758
gpt_one_example,3_8,0.8285714285714286
gpt_one_example,3_9,0.37142857142857144
gpt_one_example,3_10,0.8181818181818182
gpt_one_example,3_11,0.8076923076923077
gpt_one_example,3_12,0.8152173913043478
gpt_one_example,3_13,0.3611111111111111
gpt_one_example,4_0,0.958179581795818
gpt_one_example,4_1,0.3611111111111111
gpt_one_example,4_2,0.824
gpt_one_example,4_3,0.8198198198198198
gpt_one_example,4_4,0.3684210526315789
gpt_one_example,4_5,0.35
gpt_one_example,4_6,0.8320610687022901
gpt_one_example,4_7,0.7948717948717948
gpt_one_example,4_8,0.34210526315789475
gpt_one_example,4_9,0.5
gpt_one_example,4_10,0.3
gpt_one_example,4_11,0.8349514563106796
gpt_one_example,4_12,0.8389830508474576
gpt_one_example,4_13,0.38
gpt_one_example,5_0,0.958179581795818
gpt_one_example,5_1,9.25
gpt_one_example,5_2,0.8489208633093526
gpt_one_example,5_3,0.8267716535433071
gpt_one_example,5_4,0.8189655172413793
gpt_one_example,5_5,0.8202247191011236
gpt_one_example,5_6,0.8144329896907216
gpt_one_example,5_7,0.325
gpt_one_example,5_8,0.8263888888888888
gpt_one_example,5_9,0.8203125
gpt_one_example,5_10,0.24324324324324326
gpt_one_example,5_11,0.7899159663865546
gpt_one_example,5_12,0.831858407079646
gpt_one_example,5_13,0.8111111111111111
gpt_one_example,5_14,0.8070175438596491
gpt_one_example,6_0,0.958179581795818
gpt_one_example,6_1,9.75
gpt_one_example,6_2,0.8275862068965517
gpt_one_example,6_3,0.7843137254901961
gpt_one_example,6_4,0.8412698412698413
gpt_one_example,6_5,0.8333333333333334
gpt_one_example,6_6,0.325
gpt_one_example,6_7,0.8172043010752689
gpt_one_example,6_8,0.3684210526315789
gpt_one_example,6_9,0.43478260869565216
gpt_one_example,6_10,0.8305084745762712
gpt_one_example,6_11,0.8269230769230769
gpt_one_example,6_12,0.8295454545454546
gpt_one_example,6_13,0.34210526315789475
gpt_one_example,6_14,0.8421052631578947
gpt_one_example,7_0,0.958179581795818
gpt_one_example,7_1,0.5454545454545454
gpt_one_example,7_2,0.8376623376623377
gpt_one_example,7_3,0.4722222222222222
gpt_one_example,7_4,0.8130841121495327
gpt_one_example,7_5,0.3611111111111111
gpt_one_example,7_6,0.4888888888888889
gpt_one_example,7_7,0.3939393939393939
gpt_one_example,7_8,0.8205128205128205
gpt_one_example,7_9,0.3611111111111111
gpt_one_example,7_10,0.3684210526315789
gpt_one_example,7_11,0.358974358974359
gpt_one_example,7_12,0.8345864661654135
gpt_one_example,7_13,0.8055555555555556
gpt_one_example,8_0,0.958179581795818
gpt_one_example,8_1,0.225
gpt_one_example,8_2,0.8527131782945736
gpt_one_example,8_3,0.8442622950819673
gpt_one_example,8_4,0.839622641509434
gpt_one_example,8_5,0.8389830508474576
gpt_one_example,8_6,0.8405797101449275
gpt_one_example,8_7,0.8333333333333334
gpt_one_example,8_8,0.8166666666666667
gpt_one_example,8_9,0.8090909090909091
gpt_one_example,8_10,0.8365384615384616
gpt_one_example,8_11,0.822429906542056
gpt_one_example,8_12,0.45
gpt_one_example,8_13,0.34615384615384615
gpt_one_example,9_0,0.958179581795818
gpt_one_example,9_1,0.20454545454545456
gpt_one_example,9_2,0.849624060150376
gpt_one_example,9_3,0.21428571428571427
gpt_one_example,9_4,0.1951219512195122
gpt_one_example,9_5,0.19047619047619047
gpt_one_example,9_6,0.11904761904761904
gpt_one_example,9_7,0.21428571428571427
gpt_one_example,9_8,0.48936170212765956
gpt_one_example,9_9,0.808
gpt_one_example,9_10,0.8333333333333334
gpt_one_example,9_11,0.38461538461538464
gpt_one_example,9_12,0.8235294117647058
gpt_one_example,9_13,0.3888888888888889
gpt_one_example,10_0,0.958179581795818
gpt_one_example,10_1,0.35135135135135137
gpt_one_example,10_2,0.8226950354609929
gpt_one_example,10_3,0.3684210526315789
gpt_one_example,10_4,0.84375
gpt_one_example,10_5,0.3333333333333333
gpt_one_example,10_6,0.8188976377952756
gpt_one_example,10_7,0.8089887640449438
gpt_one_example,10_8,0.37142857142857144
gpt_one_example,10_9,0.3611111111111111
gpt_one_example,10_10,0.7916666666666666
gpt_one_example,10_11,0.3055555555555556
gpt_one_example,10_12,0.8207547169811321
gpt_one_example,10_13,0.7948717948717948
gpt_one_example,11_0,0.958179581795818
gpt_one_example,11_1,0.3611111111111111
gpt_one_example,11_2,0.34285714285714286
gpt_one_example,11_3,0.8148148148148148
gpt_one_example,11_4,0.3611111111111111
gpt_one_example,11_5,0.8023255813953488
gpt_one_example,11_6,0.3783783783783784
gpt_one_example,11_7,0.3684210526315789
gpt_one_example,11_8,0.4489795918367347
gpt_one_example,11_9,0.46808510638297873
gpt_one_example,11_10,0.3783783783783784
gpt_one_example,11_11,0.8095238095238095
gpt_one_example,11_12,0.3
gpt_one_example,11_13,0.225
gpt_one_example,12_0,0.958179581795818
gpt_one_example,12_1,0.8461538461538461
gpt_one_example,12_2,0.7901234567901234
gpt_one_example,12_3,0.5142857142857142
gpt_one_example,12_4,0.4375
gpt_one_example,12_5,0.38636363636363635
gpt_one_example,12_6,0.8380281690140845
gpt_one_example,12_7,0.8448275862068966
gpt_one_example,12_8,0.8064516129032258
gpt_one_example,12_9,0.8064516129032258
gpt_one_example,12_10,0.3695652173913043
gpt_one_example,12_11,0.3617021276595745
gpt_one_example,12_12,0.8392857142857143
gpt_one_example,12_13,0.84
gpt_one_example,13_0,0.958179581795818
gpt_one_example,13_1,0.20454545454545456
gpt_one_example,13_2,0.2978723404255319
gpt_one_example,13_3,0.8
gpt_one_example,13_4,0.1951219512195122
gpt_one_example,13_5,0.8130081300813008
gpt_one_example,13_6,0.8191489361702128
gpt_one_example,13_7,0.19047619047619047
gpt_one_example,13_8,0.27450980392156865
gpt_one_example,13_9,0.8270676691729323
gpt_one_example,13_10,0.7898089171974523
gpt_one_example,13_11,0.7623762376237624
gpt_one_example,13_12,0.898989898989899
gpt_one_example,13_13,0.5172413793103449
gpt_one_example,14_0,0.958179581795818
gpt_one_example,14_1,0.5882352941176471
gpt_one_example,14_2,0.8395061728395061
gpt_one_example,14_3,0.8043478260869565
